Blog	did	order	aren	online	getting	feel	security	team	wrote	blog	post	after	huge	data	using	those	access	hear	am	march	until	around	mostly	process	our	had	service	most	ways	build	based	best	think	answer	seems	enough	many	us	company	off	run	building	social	part	why	job	latest	episode	podcast	google	tech	her	search	report	feature	were	network	both	link	several	links	between	design	looking	single	called	line	stop	top	down	look	similar	comes	thinking	doing	yourself	person	who	work	details	ll	then	probably	know	someone	keep	working	other	gets	check	great	needs	always	case	place	long	call	super	world	self	care	bad	worst	ever	question	myself	almost	he	d	remember	good	things	let	sound	made	seen	need	subscription	money	less	david	making	fun	give	me	something	important	because	own	point	actually	including	while	issue	old	white	should	fact	local	take	does	cost	example	public	under	isn	often	rest	country	them	also	too	story	idea	against	state	his	twitter	com	mdash	america	york	times	love	little	away	where	said	its	name	these	show	through	day	real	takes	readers	make	possible	free	morning	late	night	monday	friend	book	women	helped	wasn	another	again	whether	could	back	deal	along	never	problem	being	within	week	without	full	companies	member	every	price	technology	instead	means	find	hard	try	short	really	kids	m	sure	home	play	next	year	built	going	trump	done	few	months	ago	didn	any	power	trying	right	thing	use	would	vote	lost	course	makes	sense	want	much	put	lot	bit	different	party	likely	especially	current	president	over	well	says	follow	american	posts	inside	million	three	users	asked	open	account	email	number	information	still	cars	ready	market	support	may	last	life	here	list	stuff	everything	high	easy	nothing	appeared	him	global	weekend	drive	friends	recently	share	favorite	man	two	only	used	see	anything	father	six	days	left	others	however	once	help	product	else	photos	art	giving	four	five	must	star	mark	media	experience	nbsp	doesn	matter	early	haven	fast	soon	customers	set	second	yet	type	machine	ve	turned	true	though	app	went	live	apps	games	past	future	news	together	website	site	start	later	across	read	web	group	b	each	goes	same	reading	browser	via	very	thanks	took	create	add	store	user	way	anyone	happens	yesterday	smart	living	changing	perhaps	small	images	results	wrong	click	maybe	come	side	simple	already	photo	change	game	needed	years	seem	complete	street	view	go	update	sale	before	tuesday	sometimes	health	found	watch	during	month	april	half	page	products	space	donald	national	ai	better	computer	able	big	got	say	buy	shows	might	step	business	weeks	series	deals	usually	amazon	available	police	according	pay	major	least	billion	announced	worth	copyright	law	internet	final	european	ios	apple	tv	download	c	talking	bring	finally	p	pro	far	season	event	content	model	she	learning	issues	college	science	language	music	systems	ceo	child	government	digital	u	hope	continue	ideas	key	project	industry	whole	learn	helping	end	having	decade	tools	cover	finding	stay	mobile	house	gmail	changed	emails	itself	started	easier	version	successful	told	original	published	reader	such	stories	entire	video	places	review	creative	mean	community	th	amp	enjoy	school	behind	known	youtube	article	wanted	become	articles	tell	move	special	spent	hours	personal	everyone	teach	minutes	image	difference	water	happening	since	released	family	recent	loved	large	paper	word	office	young	talk	thought	attention	system	reasons	turn	write	level	writing	won	e	rules	head	interesting	pretty	walking	camera	kind	john	facebook	please	saying	happened	paying	writers	robert	legal	friday
Mashable	1	4	0	1	1	3	7	1	1	0	0	4	0	3	1	3	1	0	0	9	0	6	2	1	9	2	1	5	0	0	0	19	1	0	2	1	4	7	4	4	0	0	4	3	3	0	2	2	0	7	16	5	1	0	1	7	2	2	3	3	0	2	0	0	0	2	2	1	2	6	1	2	3	0	0	1	1	7	2	37	5	2	1	3	3	0	0	3	0	1	8	1	2	2	3	2	0	2	1	2	2	0	1	4	1	0	0	2	0	0	3	2	3	0	3	3	4	0	2	3	0	0	2	2	2	4	4	2	4	1	1	2	6	1	0	2	4	0	0	5	2	0	0	3	1	2	1	1	2	4	14	6	3	0	1	2	4	5	3	0	0	1	1	4	4	0	3	1	6	0	4	4	1	15	1	1	0	6	0	7	0	0	1	0	0	0	0	0	1	2	2	1	4	6	2	0	1	2	2	0	6	2	1	1	0	4	3	2	4	0	2	2	0	0	5	0	1	1	14	0	3	6	0	2	0	0	5	0	0	1	4	0	1	8	0	1	5	0	0	1	1	0	3	2	0	0	4	2	0	1	2	2	0	6	2	3	0	0	0	0	2	0	1	1	0	0	3	3	0	2	0	2	1	0	2	3	3	4	3	3	0	1	2	1	0	2	2	0	0	0	0	1	1	1	4	3	0	46	3	0	0	0	0	2	2	2	4	0	1	3	0	1	0	0	0	2	0	3	0	0	0	2	0	1	0	0	2	4	0	1	1	0	4	1	1	2	3	1	2	0	0	2	2	1	3	0	0	0	1	2	32	2	4	0	2	4	3	0	1	2	2	2	3	1	0	0	0	4	0	2	0	13	0	0	0	2	2	0	1	1	0	4	0	1	1	5	2	1	0	1	0	1	1	2	6	0	4	6	3	1	3	0	4	0	1	2	0	2	2	0	0	0	0	1	3	0	0	1	1	2	1	3	0	0	1	4	5	2	42	2	0	3	1	1	0	2	3	5	6	4	4	1	3	0	6	3	0	1	0	1	0	8	4	0	1	0	3	0	4	0	1	1	0	0	2	1	0	0	0	1	1	2	1	2	0	0	0	1	0	0	1	1	0	0	1	1	0	1	1	3	0	2	0	0	2	1	1	0	0	0	0	1	0	0	6	1	0	2	0	0	0	9	0	0	1	1	4	0	0	0	0	3	0	1	0	1	0	3	0	0	37	0	0	0	2	3	1	1	3	2	0	1	0	0	0	3	1	1	1	3	1	1	0	0	0	1	0	0	0	1	5	2	0	13	1	1	0	0	0	0	0	0
The Viral Garden	13	1	10	8	6	2	0	5	7	48	43	8	0	0	30	12	0	4	25	3	0	7	7	1	7	40	5	23	6	5	0	7	32	3	3	5	25	16	13	5	0	4	135	7	21	1	2	0	0	0	0	5	3	0	0	36	4	6	20	9	9	2	0	10	1	5	3	2	4	2	2	3	2	4	13	3	6	16	17	0	17	23	12	22	14	3	1	19	1	7	13	6	6	8	3	8	1	1	4	4	1	3	1	3	0	5	2	17	5	3	17	6	8	1	8	3	8	0	3	5	0	4	2	6	57	9	4	38	24	6	11	1	8	1	2	0	16	5	0	7	5	2	4	0	1	6	9	0	0	50	10	6	2	18	0	1	8	61	22	0	2	2	1	2	3	3	18	13	11	10	25	5	4	17	3	1	10	20	1	6	0	1	3	0	4	0	0	2	8	9	3	1	8	20	1	4	10	6	21	3	5	2	3	30	1	10	2	0	5	5	9	0	4	1	10	0	18	11	0	2	9	19	0	10	0	3	26	7	5	14	8	5	7	7	17	20	31	1	0	3	4	4	34	6	4	14	8	3	0	7	1	3	0	15	12	0	16	0	9	0	0	3	10	1	2	0	3	5	4	14	0	1	1	2	12	12	2	25	12	3	0	1	2	2	0	3	0	2	1	12	6	8	2	1	8	16	1	22	1	0	0	10	10	9	1	3	10	2	8	0	0	4	5	0	3	0	2	123	1	14	2	2	3	3	0	3	19	0	3	1	0	0	20	2	1	5	0	7	3	0	0	2	1	1	5	3	12	4	5	0	10	1	4	2	5	2	16	8	1	8	23	2	10	10	9	1	4	27	3	2	0	2	0	2	0	5	0	5	4	3	4	8	1	2	2	0	3	1	2	6	2	3	0	5	14	2	0	11	0	7	0	10	0	5	1	12	3	7	2	6	0	0	0	10	0	2	12	10	6	2	2	5	0	12	4	9	0	5	0	0	0	2	3	0	5	0	0	1	0	0	0	0	0	0	1	1	0	0	4	2	2	0	0	1	0	28	15	0	2	2	2	0	1	0	6	0	0	0	0	1	0	2	1	6	5	4	5	1	8	2	5	2	0	7	4	1	2	0	0	0	0	0	7	14	0	1	2	3	1	1	1	8	3	1	0	0	0	0	8	11	9	3	0	1	1	1	0	2	12	10	6	11	2	1	0	4	6	10	2	1	1	1	0	3	3	1	0	4	4	3	0	1	0	0	1	11	7	0	3	2	9	4	5	11	0	10	1	5	3	0	0	0	1	14	3	4	4	1	4	0	0	0
NB Blog Feed	3	0	0	3	0	0	2	3	1	1	7	12	0	0	1	3	0	0	0	4	2	0	0	0	4	5	0	3	1	0	0	1	1	0	0	1	5	2	1	0	1	0	0	1	1	2	1	2	0	2	4	2	0	33	0	9	2	3	0	2	0	2	0	1	1	5	1	0	1	9	0	0	2	0	0	2	1	7	0	1	0	2	0	5	0	0	1	5	0	1	2	0	0	2	1	2	0	0	3	1	1	1	3	2	2	0	0	16	0	0	0	0	0	0	3	0	0	0	0	0	2	1	0	0	3	1	1	3	1	1	0	0	8	2	0	5	4	2	0	2	2	0	1	1	0	1	1	1	2	4	5	1	3	2	3	0	11	0	0	4	2	6	8	2	0	0	0	1	4	0	4	7	2	7	1	1	0	2	0	0	12	4	5	17	0	0	0	0	2	0	0	1	1	0	2	2	1	0	4	0	1	1	1	3	1	2	0	0	1	0	4	1	0	0	3	2	1	2	0	0	3	0	0	1	46	1	2	0	1	2	4	0	1	3	0	0	7	0	0	0	1	0	2	2	1	0	0	1	0	0	0	0	35	14	1	3	0	1	0	0	0	0	0	0	1	0	0	0	1	8	0	0	0	0	0	3	0	1	1	0	0	0	0	3	1	5	0	2	0	0	0	0	0	0	12	5	0	1	2	0	1	2	1	1	1	0	2	0	0	0	0	0	0	1	0	0	1	40	0	38	1	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	1	1	0	0	3	0	15	0	0	1	1	1	0	0	0	0	0	0	1	1	1	1	0	2	0	3	0	0	0	0	1	1	0	1	0	0	1	0	0	0	0	4	0	2	0	1	1	1	0	1	2	1	10	2	3	0	5	2	1	0	3	3	0	0	4	0	3	0	0	0	0	0	0	5	0	0	2	0	0	2	3	3	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	3	1	0	1	0	0	3	0	5	0	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	1	0	1	1	2	0	0	2	5	0	0	5	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	4	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	5	18	2	1	0	0	0	3	0	2	1	0	2	2	0	0	0	0	1	2	1	0	1	0	0	0	1	1	0	4	0	2	2	0	0	0	1	0	0	0	3	0	0	1	1	0	1	17	6	4
PaulStamatiou.com - Technology, Design and Photography	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4	6	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	3	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	16	1	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	16	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	4	0	0	0	0	16	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	1	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0
O'Reilly Radar	0	0	0	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	1	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	10	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	10	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	1	1	1	0	0	0	1	2	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
pharyngula	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	2	0	0	0	0	0	0	4	1	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	2	0	1	0	4	1	2	0	0	0	0	1	0	0	0	1	1	0	2	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	6	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	1	0	1	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	0	2	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	2	1	2	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	2	0	0	0	0	0	0	0	3	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	2	0	3	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	19
Seth Godin's Blog on marketing, tribes and respect	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	1	0	0	0	0	2	1	0	1	1	1	0	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	0	1	0	3	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	1	0	2	1	0	2	0	0	0	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	1	1	0	0	1	0	0	0	0	2	1	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	2	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	3	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	10	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Slashdot	0	0	1	3	1	0	0	1	0	0	0	2	0	6	0	6	2	0	0	0	0	2	1	1	4	2	1	7	0	0	4	1	2	0	0	0	2	2	6	0	0	1	4	2	0	0	1	0	0	12	5	0	0	14	2	7	0	2	3	1	0	2	0	1	4	1	0	1	2	4	1	1	2	0	0	1	1	4	4	3	2	2	0	1	1	0	2	9	0	2	0	0	0	1	0	4	0	1	3	0	0	1	0	0	0	0	2	1	0	0	1	1	0	0	1	0	1	1	0	1	0	0	0	0	1	0	1	1	0	0	1	4	7	5	1	0	3	0	2	1	0	1	1	1	3	0	0	0	1	2	7	0	15	0	0	1	2	1	0	0	0	0	1	0	2	0	2	13	5	0	5	0	2	2	2	1	0	5	2	0	0	1	0	1	0	0	4	0	0	2	2	1	3	0	1	0	1	0	0	1	0	1	2	4	2	0	0	7	0	1	2	2	0	0	1	0	0	2	1	0	1	2	0	0	3	1	2	0	2	0	3	0	1	5	0	8	10	0	0	1	2	1	4	1	1	0	1	2	0	3	1	2	3	6	3	4	0	3	0	1	7	2	4	0	1	1	8	0	2	1	0	0	11	2	0	1	0	1	0	0	1	3	0	0	0	0	3	1	0	1	3	0	0	1	4	1	2	2	0	0	0	1	1	0	1	1	0	2	2	0	0	0	1	1	0	0	0	3	3	0	0	0	0	0	1	1	3	7	1	3	0	2	1	0	1	1	0	0	0	2	0	2	2	6	0	1	2	0	2	1	15	8	2	0	1	1	4	0	1	0	2	2	3	0	1	1	2	3	2	1	0	0	0	0	0	1	0	0	2	1	0	1	1	0	5	0	3	0	0	5	0	0	0	2	3	0	0	2	3	0	0	2	0	1	2	4	2	1	0	0	0	1	2	1	1	1	4	2	2	0	1	2	0	4	0	0	0	1	0	2	1	2	2	3	2	1	5	0	7	5	2	1	3	2	3	0	0	0	0	0	0	0	1	0	0	3	7	0	0	2	2	0	0	1	0	4	0	0	2	4	1	0	1	0	0	1	1	0	0	0	4	0	2	0	1	0	0	0	0	2	1	3	0	1	2	1	0	0	0	0	4	4	0	0	0	0	2	0	1	0	2	6	0	0	0	2	0	2	0	1	0	0	0	0	0	0	0	3	0	0	0	0	2	0	4	4	0	0	0	1	0	0	2	0	0	1	0	3	0	2	0	3	0	0	0	2	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0
ThinkProgress	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	2	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	1	0	4	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	2	0	0	0	0	0	0	1	0	0	0	0	0	4	0	3	0	0	0	1	0	0	0	0	1	0	2	2	0	0	0	1	0	0	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	6	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	2	0	0	0	1	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	5	0	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
The Dish	2	0	0	0	0	0	0	0	1	6	4	2	0	0	0	3	0	0	2	0	0	5	1	0	6	4	0	5	0	0	0	0	1	1	0	1	3	3	0	0	0	0	0	3	5	1	3	0	0	0	0	1	0	0	0	1	0	0	0	0	1	1	0	2	1	0	0	0	0	1	3	0	0	0	1	0	1	5	3	0	3	7	2	7	0	1	0	2	0	0	0	0	1	1	1	7	0	0	8	0	0	1	0	0	2	1	1	3	1	1	0	3	0	0	2	0	0	0	1	1	0	0	0	0	11	0	0	1	1	0	0	1	0	1	3	0	4	1	0	1	0	0	4	1	2	1	2	0	0	0	0	1	4	3	1	0	11	0	1	0	2	0	1	7	2	0	0	4	0	0	5	0	4	12	1	1	9	2	1	0	2	0	0	0	1	4	0	0	0	2	0	0	1	3	0	0	2	1	0	0	1	2	0	0	0	1	0	0	0	0	2	1	0	4	0	0	1	0	1	0	1	3	0	2	0	0	0	0	2	3	1	0	0	0	1	1	1	0	0	0	0	0	1	2	0	0	0	1	0	2	0	1	1	3	1	0	1	0	4	0	1	1	0	0	2	0	4	1	0	2	0	0	0	2	1	3	1	2	0	0	0	1	0	2	0	0	0	1	0	1	4	0	2	1	1	3	0	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	3	0	0	1	0	1	1	0	0	3	0	2	0	0	2	0	0	0	11	0	0	0	0	0	2	35	0	0	1	0	1	0	0	0	0	0	2	0	3	0	2	0	2	0	0	1	0	0	1	0	0	2	0	2	0	2	0	12	1	1	0	2	3	1	0	1	0	0	1	1	0	2	0	0	1	0	0	0	0	0	0	2	0	1	2	0	1	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	1	0	0	3	3	1	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	2	1	1	0	0	0	2	0	1	3	4	33	1	1	0	0	0	0	0	3	0	2	0	2	1	0	0	2	0	3	0	1	1	0	0	0	1	1	0	9	0	0	2	0	1	0	1	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	2	2	0	1	0	0	0	0	3	1	0	0	1	0	0	0	2	0	1	0	3	1	0	0	1	0	2	0
